[Cincinnati Bengals: 2 wins, 14 losses,
 New York Jets: 7 wins, 9 losses,
 Dallas Cowboys: 8 wins, 8 losses,
 New York Giants: 4 wins, 12 losses,
 Tampa Bay Buccaneers: 7 wins, 9 losses,
 Carolina Panthers: 5 wins, 11 losses,
 Arizona Cardinals: 5 wins, 10 losses,
 Atlanta Falcons: 7 wins, 9 losses,
 Philadelphia Eagles: 9 wins, 7 losses,
 Washington Redskins: 3 wins, 13 losses,
 Miami Dolphins: 5 wins, 11 losses,
 Indianapolis Colts: 7 wins, 9 losses,
 Tennessee Titans: 9 wins, 7 losses,
 Cleveland Browns: 6 wins, 10 losses,
 Baltimore Ravens: 14 wins, 2 losses,
 Pittsburgh Steelers: 8 wins, 8 losses,
 Los Angeles Rams: 9 wins, 7 losses,
 New Orleans Saints: 13 wins, 3 losses,
 Seattle Seahawks: 11 wins, 5 losses,
 San Francisco 49ers: 13 wins, 3 losses,
 Green Bay Packers: 13 wins, 3 losses,
 Chicago Bears: 8 wins, 8 losses,
 Minnesota Vikings: 10 wins, 6 losses,
 Oakland Raiders: 7 wins, 9 losses,
 Detroit Lions: 3 wins, 12 losses,
 Los Angeles Chargers: 5 wins, 11 losses,
 Jacksonville Jaguars: 6 wins, 10 losses,
 Denver Broncos: 7 wins, 9 losses,
 Houston Texans: 10 wins, 6 losses,
 Kansas City Chiefs: 12 wins, 4 losses,
 New England Patriots: 12 wins, 4 losses,
 Buffalo Bills: 10 wins, 6 losses]
