[New York Jets: 1 wins, 13 losses,
 Los Angeles Rams: 9 wins, 5 losses,
 Dallas Cowboys: 5 wins, 9 losses,
 Atlanta Falcons: 4 wins, 10 losses,
 Minnesota Vikings: 6 wins, 8 losses,
 Houston Texans: 4 wins, 10 losses,
 Jacksonville Jaguars: 1 wins, 13 losses,
 Indianapolis Colts: 10 wins, 4 losses,
 Chicago Bears: 7 wins, 7 losses,
 Detroit Lions: 5 wins, 9 losses,
 Arizona Cardinals: 8 wins, 6 losses,
 San Francisco 49ers: 5 wins, 9 losses,
 New York Giants: 5 wins, 9 losses,
 Washington Football Team: 6 wins, 8 losses,
 Philadelphia Eagles: 4 wins, 9 losses,
 New Orleans Saints: 10 wins, 4 losses,
 Tampa Bay Buccaneers: 9 wins, 5 losses,
 Green Bay Packers: 11 wins, 3 losses,
 Carolina Panthers: 4 wins, 10 losses,
 Los Angeles Chargers: 5 wins, 9 losses,
 Cincinnati Bengals: 3 wins, 10 losses,
 Pittsburgh Steelers: 11 wins, 3 losses,
 Denver Broncos: 5 wins, 9 losses,
 New England Patriots: 6 wins, 8 losses,
 Las Vegas Raiders: 7 wins, 7 losses,
 Kansas City Chiefs: 13 wins, 1 losses,
 Baltimore Ravens: 9 wins, 5 losses,
 Cleveland Browns: 10 wins, 4 losses,
 Tennessee Titans: 10 wins, 4 losses,
 Buffalo Bills: 11 wins, 3 losses,
 Seattle Seahawks: 10 wins, 4 losses,
 Miami Dolphins: 9 wins, 5 losses]
